"","lname","county","district","localitypop","urban","cwealth","cdisplaced","cwidow","cparentdeath","cwardisable","cliterate","cnoschool","cunder18","xcoordinate","ycoordinate","nn_census_index","towncode","Xcoord.s","Ycoord.s","nn_census_dist","num_blocks"
"8866","Via","Margibi","Mambah Kaba",6838,0,1.35772359371185,0.380681812763214,0.0123647600412369,0.766615152359009,0.00154559500515461,0.59403669834137,0.424015015363693,0.539412677288055,-10.6134281158447,6.22591924667358,8866,8004,0.0019506474811445,0.00401075654672506,0.0213207109080584,6
"8867","Via","Margibi","Mambah Kaba",6900,0,1.35772359371185,0.380681812763214,0.0123647600412369,0.766615152359009,0.00154559500515461,0.59403669834137,0.424015015363693,0.539412677288055,-10.6134281158447,6.22591924667358,8866,8017,0.000106502066360375,0.000142470231296483,0.0173279351872908,6
"9344","Z100 Duala Mombo Town-East","Montserrado","Greater Monrovia",7173,1,2.56338024139404,0.27176496386528,0.0195176359266043,0.532831430435181,0.00362470373511314,0.746463119983673,0.392862796783447,0.450020909309387,-10.7854118347168,6.37249612808228,9343,1014,0.000723578604571,0.00164699179478445,0.002924525184681,6
"9345","Z100 Crab Hole","Montserrado","Greater Monrovia",6710,1,2.52659940719604,0.424836605787277,0.016840536147356,0.521311461925507,0.00298062595538795,0.717959344387054,0.428471982479095,0.477496266365051,-10.780177116394,6.38935136795044,9344,1022,0.00611030536296331,0.00733546106121864,0.0051800482873095,6
"9349","Z100 Lagoon West","Montserrado","Greater Monrovia",4967,1,2.06905150413513,0.159739449620247,0.0140930134803057,0.560901939868927,0.00402657547965646,0.749593913555145,0.430030167102814,0.440104693174362,-10.7953596115112,6.37685298919678,9348,1008,0.00394936726636971,0.00538716993574791,0.00459762557064766,5
"9353","Z100 Nyuan Town","Montserrado","Greater Monrovia",5962,1,2.41167879104614,0.441602945327759,0.0219724923372269,0.588057696819305,0.00469641061499715,0.733088731765747,0.436515659093857,0.451023161411285,-10.789722442627,6.36828851699829,9352,1001,0.000317892460007657,0.00325869293148241,0.00131009365738358,5
"9354","Z100 Nyuan Town","Montserrado","Greater Monrovia",5962,1,2.41167879104614,0.441602945327759,0.0219724923372269,0.588057696819305,0.00469641061499715,0.733088731765747,0.436515659093857,0.451023161411285,-10.789722442627,6.36828851699829,9352,1011,0.000621210593531567,0.000808122977996433,0.00183857859601381,5
"9356","Z100 Popo Beach B","Montserrado","Greater Monrovia",2595,1,1.83925235271454,0.22007255256176,0.0227360315620899,0.608092486858368,0.00346820801496506,0.656087398529053,0.55336320400238,0.448554903268814,-10.7929401397705,6.36415672302246,9354,1004,0.000856704401258696,0.00403924989598667,0.000471443407095853,4
"9357","Z100 Point Four","Montserrado","Greater Monrovia",6519,1,2.34886646270752,0.24900908768177,0.0134990029036999,0.598558068275452,0.00122718210332096,0.740412354469299,0.46140193939209,0.430434107780457,-10.7901334762573,6.3632640838623,9355,1005,0.00292245917072297,0.00429797145667574,0.00149923724566516,6
"9358","Z100 Point Four","Montserrado","Greater Monrovia",6519,1,2.34886646270752,0.24900908768177,0.0134990029036999,0.598558068275452,0.00122718210332096,0.740412354469299,0.46140193939209,0.430434107780457,-10.7901334762573,6.3632640838623,9355,1007,0.0017802786416933,0.00360246323344633,0.00706166283276724,6
"9359","Z200 Jamaica Road","Montserrado","Greater Monrovia",6927,1,2.56338024139404,0.326923072338104,0.012992637231946,0.558972120285034,0.00461960444226861,0.712984502315521,0.453135311603546,0.439439862966537,-10.7875089645386,6.34166097640991,9356,10020,0.000420806087049914,0.000776238188953994,0.000724042182487958,6
"9360","Z200 Jamaica Road","Montserrado","Greater Monrovia",6927,1,2.56338024139404,0.326923072338104,0.012992637231946,0.558972120285034,0.00461960444226861,0.712984502315521,0.453135311603546,0.439439862966537,-10.7875089645386,6.34166097640991,9356,10026,0.00210624220225085,0.00199876515128921,0.00292902766114907,6
"9361","Z200 Zondo Town","Montserrado","Greater Monrovia",7196,1,2.52309393882751,0.206521734595299,0.01598110049963,0.623401880264282,0.00611450802534819,0.715305745601654,0.454330325126648,0.423707604408264,-10.7862930297852,6.3480110168457,9357,10036,0.0019074337487851,0.00150169065445315,0.000919920561982319,6
"9362","Z200 Stockton Creek","Montserrado","Greater Monrovia",2007,1,2.51086950302124,0.122369445860386,0.0159441959112883,0.592924773693085,0.00498256087303162,0.624481320381165,0.529614746570587,0.457897365093231,-10.7814140319824,6.34232664108276,9358,10016,0.00331407610364765,0.00252103138429019,0.00145977839950286,4
"9365","Z200 Little White Chapel","Montserrado","Greater Monrovia",6897,1,2.52777767181396,0.375362008810043,0.0146440481767058,0.611570239067078,0.00376975489780307,0.80627167224884,0.336514741182327,0.447150945663452,-10.7797908782959,6.3539252281189,9361,10034,0.00100780112097371,0.00271354918623523,0.00195026723695176,6
"9368","Z200 King Peter Town","Montserrado","Greater Monrovia",4387,1,2.56338024139404,0.443481266498566,0.0136767718940973,0.550718009471893,0.00227946205995977,0.790078639984131,0.377588003873825,0.436744928359985,-10.7843360900879,6.35995101928711,9364,1002,0.00209264868328486,0.00538031032812416,0.00271763284426495,4
"9377","Z300 Paity Town","Montserrado","Greater Monrovia",4889,1,2.44592356681824,0.19574873149395,0.0163632649928331,0.517897307872772,0.00265903049148619,0.684457957744598,0.49275016784668,0.43464919924736,-10.7971315383911,6.33067274093628,9373,10002,0.00184049586424539,0.00258456880187879,0.000792181160564692,5
"9378","Z300 Peugeot Garage","Montserrado","Greater Monrovia",3575,1,2.56338024139404,0.1247383877635,0.0204195808619261,0.5672727227211,0.0128671331331134,0.656137824058533,0.493934690952301,0.441678315401077,-10.7941083908081,6.33308696746826,9374,10012,0.00223531492179598,0.0041973738687747,0.00243786788847508,4
"9380","Z300 Cow Factory","Montserrado","Greater Monrovia",8730,1,2.56266522407532,0.218916997313499,0.0126002291217446,0.486368834972382,0.00355097372084856,0.660789489746094,0.521368682384491,0.455097377300262,-10.7853555679321,6.33638954162598,9376,10004,0.00200422574213741,0.00239714837221012,0.0013302084355788,6
"9381","Z300 Cow Factory","Montserrado","Greater Monrovia",8730,1,2.56266522407532,0.218916997313499,0.0126002291217446,0.486368834972382,0.00355097372084856,0.660789489746094,0.521368682384491,0.455097377300262,-10.7853555679321,6.33638954162598,9376,10014,0.00358885533548351,0.00394205360006005,0.00248242041264838,6
"9384","Z400 Power Plant","Montserrado","Greater Monrovia",3724,1,2.53787040710449,0.185154631733894,0.0150375943630934,0.504833519458771,0.00161117082461715,0.634435653686523,0.584081768989563,0.43931257724762,-10.8083209991455,6.32399988174438,9379,2001,0.00236112571232342,0.0054509355407925,0.00272465819480852,4
"9389","Z400 Grandcess Yard	","Montserrado","Greater Monrovia",6540,1,1.81712543964386,0.190286248922348,0.017737003043294,0.636697232723236,0.006880734115839,0.610621273517609,0.608330428600311,0.432874619960785,-10.8061122894287,6.32885789871216,9384,2014,0.0114047489666917,0.022091579841966,0.00689144574590751,6
