weapon_used	weapon_result	charge	location_major_comm	location_comm	date_of_occurrence	time_of_occurrance	disposition	status	towncode	day_occur	armedrob	burglary	aggassault	simpleassault	sexual	domestic_phys	domestic_verbal	land	land_violent	mob	riot	murder	other	year	month
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"PAYNESVILLE"	"OUTLAND COMMUNITY"	"12/21/2017"	"03:00 PM - 06:00 PM"	"COURT"	"COMPLETED"	5004	"2017-12-21"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	12
"NIL"	"NIL"	"SIMPLE ASSAULT"	"BUSHROD ISLAND"	"CLARA TOWN COMMUNITY"	"9/4/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN "	"COMPLETED"	10002	"2017-09-04"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"CRIMINAL MISCHIEF"	"PAYNESVILLE"	"ROCK HILL COMMUNITY"	"4/8/2018"	"12:00 PM - 03:00 PM"	"PENDING"	"COMPLETED"	2014	"2018-04-08"	0	0	0	0	0	0	0	0	0	0	0	0	1	2018	4
"NIL"	"NIL"	"PROPERTY THEFT"	"CENTRAL MONROVIA"	"CAREY STREET COMMUNITY"	"6/4/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	2010	"2017-06-04"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"BUSHROD ISLAND"	"NEW GEORGIA COMMUNITY"	"6/3/2017"	"09:00 PM - 00:00 AM"	"COURT"	"COMPLETED"	4020	"2017-06-03"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"MISAPPLICATION OF ENTRUSTED PROPERTY"	"BUSHROD ISLAND"	"NEW GEORGIA COMMUNITY"	"6/3/2017"	"09:00 AM - 12:00 PM"	"PENDING"	"COMPLETED"	4020	"2017-06-03"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"CRIMINAL MISCHIEF"	"PAYNESVILLE"	"NEEZOE COMMUNITY"	"6/13/2017"	"09:00 AM - 12:00 PM"	"PENDING"	"COMPLETED"	9018	"2017-06-13"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"CENTRAL MONROVIA"	"MECHLIN STREET COMMUNITY"	"6/3/2017"	"03:00 PM - 06:00 PM"	"WITHDRAWN"	"COMPLETED"	2005	"2017-06-03"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"CENTRAL MONROVIA"	"UN DRIVE COMMUNITY"	"6/2/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	2001	"2017-06-02"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"MENACING"	"BUSHROD ISLAND"	"JAMAICA ROAD COMMUNITY"	"6/3/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	10020	"2017-06-03"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"CLARA TOWN COMMUNITY"	"6/3/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED"	10002	"2017-06-03"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"SKD BOULEVARD COMMUNITY"	"6/9/2017"	"09:00 AM - 12:00 PM"	"PENDING"	"COMPLETED"	3014	"2017-06-09"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"CONGO TOWN"	"PEACE ISLAND COMMUNITY"	"6/10/2017"	"03:00 AM - 06:00 AM"	"PENDING"	"COMPLETED"	3000	"2017-06-10"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"CONGO TOWN"	"PEACE ISLAND COMMUNITY"	"6/12/2017"	"12:00 PM - 03:00 PM"	"PENDING"	"COMPLETED"	3000	"2017-06-12"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"PAYNESVILLE"	"ELWA COMMUNITY"	"6/5/2017"	"12:00 PM - 03:00 PM"	"PENDING"	"COMPLETED"	8005	"2017-06-05"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"ELWA COMMUNITY"	"6/9/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	8005	"2017-06-09"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"BUSHROD ISLAND"	"DOE COMMUNITY"	"6/2/2017"	"06:00 AM - 09:00 AM"	"COURT"	"COMPLETED"	10004	"2017-06-02"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"BUSHROD ISLAND"	"DOE COMMUNITY"	"6/4/2017"	"03:00 PM - 06:00 PM"	"COURT"	"COMPLETED"	10004	"2017-06-04"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"BUSHROD ISLAND"	"DOE COMMUNITY"	"6/5/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	10004	"2017-06-05"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"SIMPLE ASSAULT"	"BUSHROD ISLAND"	"DOE COMMUNITY"	"6/6/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED"	10004	"2017-06-06"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"SIMPLE ASSAULT"	"BUSHROD ISLAND"	"CLARA TOWN COMMUNITY"	"6/8/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED"	10002	"2017-06-08"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"SIMPLE ASSAULT"	"BUSHROD ISLAND"	"DOE COMMUNITY"	"6/9/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	10004	"2017-06-09"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"SIMPLE ASSAULT"	"BUSHROD ISLAND"	"CLARA TOWN COMMUNITY"	"6/11/2017"	"03:00 PM - 06:00 PM"	"COURT"	"COMPLETED"	10002	"2017-06-11"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"SIMPLE ASSAULT"	"BUSHROD ISLAND"	"DOE COMMUNITY"	"6/12/2017"	"12:00 PM - 03:00 PM"	"PENDING"	"COMPLETED"	10004	"2017-06-12"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"SIMPLE ASSAULT"	"BUSHROD ISLAND"	"DOE COMMUNITY"	"6/13/2017"	"03:00 PM - 06:00 PM"	"COURT"	"COMPLETED"	10004	"2017-06-13"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"CLARA TOWN COMMUNITY"	"6/15/2017"	"06:00 PM - 09:00 PM"	"COURT"	"COMPLETED"	10002	"2017-06-15"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"CLARA TOWN COMMUNITY"	"6/17/2017"	"12:00 PM - 03:00 PM"	"COURT"	"COMPLETED"	10002	"2017-06-17"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"CLARA TOWN COMMUNITY"	"6/17/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED"	10002	"2017-06-17"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"CLARA TOWN COMMUNITY"	"6/17/2017"	"12:00 PM - 03:00 PM"	"PENDING"	"COMPLETED"	10002	"2017-06-17"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"DISORDERLY CONDUCT"	"BUSHROD ISLAND"	"DOE COMMUNITY"	"6/18/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	10004	"2017-06-18"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"DISORDERLY CONDUCT"	"BUSHROD ISLAND"	"DOE COMMUNITY"	"6/19/2017"	"09:00 PM - 00:00 AM"	"WITHDRAWN"	"COMPLETED"	10004	"2017-06-19"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"DISORDERLY CONDUCT"	"BUSHROD ISLAND"	"DOE COMMUNITY"	"6/20/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED"	10004	"2017-06-20"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"DUALA COMMUNITY"	"6/8/2017"	"12:00 PM - 03:00 PM"	"COURT"	"COMPLETED"	1014	"2017-06-08"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"BUSHROD ISLAND"	"BONG MINES BRIDGE COMMUNITY"	"6/2/2017"	"06:00 PM - 09:00 PM"	"COURT"	"COMPLETED"	1002	"2017-06-02"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"BURGLARY"	"BUSHROD ISLAND"	"POINT FOUR COMMUNITY"	"6/4/2017"	"03:00 PM - 06:00 PM"	"PENDING"	"COMPLETED"	1001	"2017-06-04"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"BUSHROD ISLAND"	"BONG MINES BRIDGE COMMUNITY"	"6/5/2017"	"06:00 PM - 09:00 PM"	"COURT"	"COMPLETED"	1002	"2017-06-05"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"DUALA COMMUNITY"	"6/3/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	1014	"2017-06-03"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"POINT FOUR COMMUNITY"	"6/6/2017"	"06:00 AM - 09:00 AM"	"COURT"	"COMPLETED"	1001	"2017-06-06"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"72ND COMMUNITY"	"6/3/2017"	"06:00 AM - 09:00 AM"	"COURT"	"COMPLETED"	9012	"2017-06-03"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"BREWERVILLE"	"BABYMA JUNCTION COMMUNITY"	"6/4/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED"	6003	"2017-06-04"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"ROBBERY"	"BREWERVILLE"	"BABYMA JUNCTION COMMUNITY"	"6/18/2017"	"12:00 PM - 03:00 PM"	"PENDING"	"COMPLETED"	6003	"2017-06-18"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"JAMAICA ROAD COMMUNITY"	"6/9/2017"	"03:00 PM - 06:00 PM"	"PENDING"	"COMPLETED"	10020	"2017-06-09"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"BURGLARY"	"BUSHROD ISLAND"	"DOE COMMUNITY"	"6/14/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	10004	"2017-06-14"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"BURGLARY"	"BUSHROD ISLAND"	"JAMAICA ROAD COMMUNITY"	"6/10/2017"	"12:00 PM - 03:00 PM"	"COURT"	"COMPLETED"	10020	"2017-06-10"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"DUALA COMMUNITY"	"6/5/2017"	"06:00 PM - 09:00 PM"	"WITHDRAWN"	"COMPLETED"	1014	"2017-06-05"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"ELWA COMMUNITY"	"6/10/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	8005	"2017-06-10"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"72ND COMMUNITY"	"6/30/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	9012	"2017-06-30"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"72ND COMMUNITY"	"6/5/2017"	"06:00 PM - 09:00 PM"	"WITHDRAWN"	"COMPLETED"	9012	"2017-06-05"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"SIMPLE ASSAULT"	"PAYNESVILLE"	"72ND COMMUNITY"	"6/7/2017"	"06:00 PM - 09:00 PM"	"WITHDRAWN"	"COMPLETED"	9012	"2017-06-07"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	6
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"NEW HOPE COMMUNITY"	"6/16/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED"	9003	"2017-06-16"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
"NIL"	"NIL"	"PERSISTANT NON SUPORT"	"BUSHROD ISLAND"	"CLARA TOWN COMMUNITY"	"6/9/2017"	"06:00 AM - 09:00 AM"	"COURT"	"COMPLETED"	10002	"2017-06-09"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	6
